Unnamed: 0,z_target (um),TOD (fs^3),n_protons (1/sr)
0,-150.0,-80000.0,850060290.1761112
1,-112.5,-80000.0,989818751.8104815
2,-75.0,-80000.0,1529121991.9995809
3,-37.5,-80000.0,38526475221.00881
4,0.0,-80000.0,55826106445.55031
5,37.5,-80000.0,49713729020.54123
6,75.0,-80000.0,37040102876.097404
7,112.5,-80000.0,4628471405.891206
8,150.0,-80000.0,3381332662.9539127
9,-150.0,-70000.0,256497882.52896205
10,-112.5,-70000.0,540947457.3847982
11,-75.0,-70000.0,1078606480.3781989
12,-37.5,-70000.0,41773804182.5133
13,0.0,-70000.0,52069892261.97714
14,37.5,-70000.0,55408475277.84291
15,75.0,-70000.0,36393925518.18789
16,112.5,-70000.0,3922280120.3387103
17,150.0,-70000.0,2159679286.549945
18,-150.0,-59999.99999999999,0.0
19,-112.5,-59999.99999999999,134825810.0472748
20,-75.0,-59999.99999999999,747296715.4449568
21,-37.5,-59999.99999999999,32549745714.64485
22,0.0,-59999.99999999999,55002353630.50537
23,37.5,-59999.99999999999,53793031883.069145
24,75.0,-59999.99999999999,22372863381.86916
25,112.5,-59999.99999999999,2696516200.945496
26,150.0,-59999.99999999999,717700805.9223841
27,-150.0,-49999.99999999999,0.0
28,-112.5,-49999.99999999999,0.0
29,-75.0,-49999.99999999999,828685466.6320312
30,-37.5,-49999.99999999999,20702338711.039497
31,0.0,-49999.99999999999,41355350906.20803
32,37.5,-49999.99999999999,64866012587.50053
33,75.0,-49999.99999999999,14699301729.544369
34,112.5,-49999.99999999999,1780687222.9414473
35,150.0,-49999.99999999999,9043194.576341609
36,-150.0,-40000.0,0.0
37,-112.5,-40000.0,0.0
38,-75.0,-40000.0,867324570.7309451
39,-37.5,-40000.0,16366537965.982618
40,0.0,-40000.0,52892822968.42423
41,37.5,-40000.0,66548868887.29791
42,75.0,-40000.0,11779171989.98387
43,112.5,-40000.0,842661312.7954679
44,150.0,-40000.0,0.0
45,-150.0,-29999.999999999996,0.0
46,-112.5,-29999.999999999996,0.0
47,-75.0,-29999.999999999996,485044072.7310498
48,-37.5,-29999.999999999996,12859422687.557764
49,0.0,-29999.999999999996,54068438263.34865
50,37.5,-29999.999999999996,72886504068.11769
51,75.0,-29999.999999999996,11433886378.887196
52,112.5,-29999.999999999996,388035258.18484
53,150.0,-29999.999999999996,0.0
54,-150.0,-20000.0,0.0
55,-112.5,-20000.0,240877819.1698264
56,-75.0,-20000.0,1835768498.9973464
57,-37.5,-20000.0,7146590041.103421
58,0.0,-20000.0,62668516305.4495
59,37.5,-20000.0,74947530322.92574
60,75.0,-20000.0,8990579626.07926
61,112.5,-20000.0,2171188806.9198337
62,150.0,-20000.0,0.0
63,-150.0,-10000.0,9865303.17419084
64,-112.5,-10000.0,633023620.3439126
65,-75.0,-10000.0,3147031712.56688
66,-37.5,-10000.0,8855753816.031982
67,0.0,-10000.0,59288827859.6913
68,37.5,-10000.0,73415942005.1326
69,75.0,-10000.0,13461206181.18341
70,112.5,-10000.0,3387909531.7367053
71,150.0,-10000.0,204705040.8644601
72,-150.0,0.0,4110542.989246188
73,-112.5,0.0,731676652.085821
74,-75.0,0.0,3282679631.212004
75,-37.5,0.0,7774681009.860236
76,0.0,0.0,60942910358.563965
77,37.5,0.0,72254302556.37163
78,75.0,0.0,11910709365.639755
79,112.5,0.0,3592614572.601166
80,150.0,0.0,214570344.03865093
81,-150.0,10000.0,0.0
82,-112.5,10000.0,362549891.6515135
83,-75.0,10000.0,2960413060.8551035
84,-37.5,10000.0,11784104641.570965
85,0.0,10000.0,66548046778.70005
86,37.5,10000.0,79186322253.43639
87,75.0,10000.0,14777402046.340034
88,112.5,10000.0,2979321558.605636
89,150.0,10000.0,21374823.5440802
90,-150.0,20000.0,0.0
91,-112.5,20000.0,406943755.9353724
92,-75.0,20000.0,2675963485.9992666
93,-37.5,20000.0,12168851465.364408
94,0.0,20000.0,65661813710.21858
95,37.5,20000.0,79478170805.67287
96,75.0,20000.0,16674006581.578232
97,112.5,20000.0,2788592363.904612
98,150.0,20000.0,90431945.76341604
99,-150.0,29999.999999999996,0.0
100,-112.5,29999.999999999996,524505285.4278133
101,-75.0,29999.999999999996,3045912355.031424
102,-37.5,29999.999999999996,15316705286.52914
103,0.0,29999.999999999996,67869175295.44378
104,37.5,29999.999999999996,80292880426.14146
105,75.0,29999.999999999996,16512051187.80193
106,112.5,29999.999999999996,3033580726.0636854
107,150.0,29999.999999999996,180863891.52683225
108,-150.0,40000.0,3288434.39139694
109,-112.5,40000.0,692215439.3890578
110,-75.0,40000.0,3174983404.893753
111,-37.5,40000.0,13684819719.798405
112,0.0,40000.0,67464697865.30197
113,37.5,40000.0,83335504346.78151
114,75.0,40000.0,18052682700.1714
115,112.5,40000.0,3580282943.633429
116,150.0,40000.0,393790018.3697847
117,-150.0,49999.99999999999,91254054.36126536
118,-112.5,49999.99999999999,942958561.733075
119,-75.0,49999.99999999999,3363246273.801229
120,-37.5,49999.99999999999,14863723449.114206
121,0.0,49999.99999999999,69546276835.05623
122,37.5,49999.99999999999,81855708870.65288
123,75.0,49999.99999999999,16729909966.231976
124,112.5,49999.99999999999,3552331251.3065515
125,150.0,49999.99999999999,427496470.8816031
126,-150.0,59999.99999999999,160311176.5806013
127,-112.5,59999.99999999999,979953448.6362908
128,-75.0,59999.99999999999,3544110165.328062
129,-37.5,59999.99999999999,14776579937.742195
130,0.0,59999.99999999999,71293257605.48587
131,37.5,59999.99999999999,82678639577.09998
132,75.0,59999.99999999999,18023086790.648827
133,112.5,59999.99999999999,3923102228.93656
134,150.0,59999.99999999999,523683176.8299641
135,-150.0,70000.0,161955393.77629974
136,-112.5,70000.0,1115601367.2814145
137,-75.0,70000.0,3498072083.848504
138,-37.5,70000.0,15592111666.80864
139,0.0,70000.0,71733907813.93306
140,37.5,70000.0,82713168138.20963
141,75.0,70000.0,18359329207.169167
142,112.5,70000.0,3741416228.811879
143,150.0,70000.0,361727783.05366427
144,-150.0,80000.0,314867592.97625786
145,-112.5,80000.0,1135331973.6297965
146,-75.0,80000.0,3819516545.607556
147,-37.5,80000.0,18333021732.03799
148,0.0,80000.0,69472287061.2498
149,37.5,80000.0,81385462752.68309
150,75.0,80000.0,18272185695.797146
151,112.5,80000.0,4261810971.250445
152,150.0,80000.0,476822986.7525576
