Wavelength[nm],Intensity[normalized],Phase[rad]
450.17,-0.00210787,-0.88275406
450.63,-0.00259290,-0.80104869
451.09,-0.00309856,-0.72490864
451.55,-0.00316065,-0.65387305
452.01,-0.00242683,-0.58845749
452.47,-0.00131673,-0.52771255
452.93,-0.00101819,-0.47215351
453.39,-0.00136698,-0.42180722
453.85,-0.00146182,-0.37621214
454.31,-0.00164527,-0.33588311
454.77,-0.00266145,-0.30084659
455.23,-0.00398939,-0.27064060
455.69,-0.00460175,-0.24529132
456.15,-0.00441068,-0.22482477
456.61,-0.00404499,-0.20975515
457.07,-0.00366976,-0.19961994
457.53,-0.00297649,-0.19395650
457.99,-0.00226097,-0.19327861
458.44,-0.00154426,-0.19809992
458.90,-0.00011420,-0.20746912
459.36,0.00124758,-0.22043476
459.82,0.00114989,-0.23751010
460.28,0.00028087,-0.25872001
460.74,-0.00020806,-0.28213609
461.20,-0.00010597,-0.30778295
461.66,0.00095275,-0.33519679
462.12,0.00272321,-0.36244883
462.58,0.00345249,-0.39005159
463.04,0.00269382,-0.41705263
463.50,0.00270250,-0.44347593
463.96,0.00400481,-0.46788051
464.42,0.00463278,-0.49029012
464.88,0.00439166,-0.51024011
465.34,0.00444345,-0.52677742
465.79,0.00516451,-0.53992545
466.25,0.00625535,-0.54775435
466.71,0.00722677,-0.55077554
467.17,0.00767536,-0.54901208
467.63,0.00722718,-0.54151032
468.09,0.00629311,-0.52585168
468.55,0.00547440,-0.50401197
469.01,0.00460269,-0.47699035
469.47,0.00388174,-0.44676241
469.93,0.00385731,-0.41237395
470.38,0.00482200,-0.37580035
470.84,0.00633034,-0.33706375
471.30,0.00698745,-0.29862758
471.76,0.00639838,-0.26002549
472.22,0.00582124,-0.22323242
472.68,0.00645345,-0.18827007
473.14,0.00835653,-0.15711316
473.60,0.01050116,-0.12929493
474.05,0.01197238,-0.10678987
474.51,0.01283069,-0.09010755
474.97,0.01342706,-0.07975743
475.43,0.01335308,-0.07624888
475.89,0.01192226,-0.08155599
476.35,0.01027653,-0.09814104
476.81,0.00965983,-0.12309511
477.26,0.00912210,-0.15595059
477.72,0.00849976,-0.19623977
478.18,0.00918529,-0.24593624
478.64,0.01120931,-0.30261897
479.10,0.01310031,-0.36435510
479.56,0.01419350,-0.43018825
480.01,0.01476328,-0.49769708
480.47,0.01481441,-0.56641330
480.93,0.01466986,-0.63489195
481.39,0.01504879,-0.70217624
481.85,0.01581275,-0.76682104
482.30,0.01670967,-0.82738109
482.76,0.01821295,-0.88289935
483.22,0.02003185,-0.93193037
483.68,0.02127172,-0.97400520
484.14,0.02204409,-1.00767823
484.60,0.02296831,-1.02906232
485.05,0.02406217,-1.04012967
485.51,0.02513135,-1.04089922
485.97,0.02599803,-1.03138984
486.43,0.02677508,-1.01113201
486.88,0.02767075,-0.97574991
487.34,0.02788060,-0.93112149
487.80,0.02729044,-0.87873012
488.26,0.02683172,-0.81908250
488.72,0.02638470,-0.75463837
489.17,0.02639531,-0.68541599
489.63,0.02736377,-0.61289835
490.09,0.02758320,-0.53905668
490.55,0.02687274,-0.46439723
491.00,0.02741221,-0.39040278
491.46,0.02945973,-0.31806770
491.92,0.03178511,-0.24887459
492.38,0.03387587,-0.18381766
492.83,0.03549064,-0.12389107
493.29,0.03636032,-0.07301855
493.75,0.03628127,-0.02926441
494.21,0.03597558,0.00686575
494.66,0.03687743,0.03535467
495.12,0.03841239,0.05520861
495.58,0.03914551,0.06201594
496.04,0.03964286,0.06015417
496.49,0.04050405,0.05058294
496.95,0.04076181,0.03475022
497.41,0.04009825,0.01361580
497.87,0.03998073,-0.01332533
498.32,0.04111307,-0.04413665
498.78,0.04243364,-0.07785816
499.24,0.04315501,-0.11426220
499.69,0.04377469,-0.15190033
500.15,0.04591985,-0.19005645
500.61,0.04987176,-0.22777025
501.06,0.05321029,-0.26456963
501.52,0.05421268,-0.29973829
501.98,0.05393429,-0.33231567
502.44,0.05391069,-0.36012049
502.89,0.05414195,-0.38414518
503.35,0.05418978,-0.40416143
503.81,0.05407210,-0.42018499
504.26,0.05431347,-0.43149909
504.72,0.05550773,-0.43494551
505.18,0.05709868,-0.43371362
505.63,0.05848392,-0.42830716
506.09,0.05996000,-0.41874153
506.55,0.06115870,-0.40552032
507.00,0.06148976,-0.38914707
507.46,0.06123543,-0.36939283
507.92,0.06050543,-0.34749343
508.37,0.05968210,-0.32297563
508.83,0.05996030,-0.29707512
509.29,0.06147648,-0.26980681
509.74,0.06294566,-0.24191799
510.20,0.06357152,-0.21269101
510.66,0.06378645,-0.18336130
511.11,0.06427165,-0.15345523
511.57,0.06537975,-0.12371981
512.02,0.06722873,-0.09392542
512.48,0.06971491,-0.06481895
512.94,0.07249439,-0.03665894
513.39,0.07496955,-0.00897144
513.85,0.07681637,0.01725272
514.31,0.07808619,0.04151105
514.76,0.07864419,0.06476597
515.22,0.07847599,0.08675925
515.67,0.07770158,0.10747687
516.13,0.07683767,0.12714902
516.59,0.07713458,0.14576178
517.04,0.07852099,0.16305720
517.50,0.07914785,0.17926562
517.95,0.07868860,0.19437332
518.41,0.07919804,0.20836666
518.87,0.08129930,0.22123203
519.32,0.08337308,0.23320003
519.78,0.08483908,0.24425718
520.23,0.08588003,0.25390178
520.69,0.08608319,0.26236460
521.14,0.08557511,0.26963234
521.60,0.08534722,0.27569174
522.06,0.08575313,0.28052962
522.51,0.08632241,0.28437697
522.97,0.08763129,0.28673244
523.42,0.08970090,0.28855957
523.88,0.09110447,0.28911297
524.33,0.09212042,0.28886801
524.79,0.09338748,0.28732354
525.25,0.09414706,0.28519920
525.70,0.09483179,0.28223810
526.16,0.09664609,0.27842753
526.61,0.09861242,0.27351073
527.07,0.09900535,0.26771925
527.52,0.09866886,0.26177298
527.98,0.09905619,0.25468289
528.43,0.09970058,0.24716896
528.89,0.10031505,0.23873054
529.34,0.10164633,0.22984361
529.80,0.10366227,0.22074002
