,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
0,206.961,451.7,7.376313442364012
1,207.342,443.7,5.4230987451825
2,207.723,443.5,4.341658669218482
3,208.105,447.9,7.529276193632426
4,208.486,444.3,4.712748667179271
5,208.868,443.6,7.031358332498778
6,209.249,450.8,5.793099343184096
7,209.631,450.5,5.445181356024793
8,210.012,446.8,4.467661580737735
9,210.394,452.4,5.0635955604688645
10,210.776,449.9,5.629387178015027
11,211.158,451.7,7.08590149522275
12,211.539,456.2,7.332121111929345
13,211.921,455.8,5.5641710972974225
14,212.303,454.6,6.374950980203691
15,212.685,450.6,3.4698703145794947
16,213.067,450.0,6.54217089351845
17,213.449,454.2,4.422668877499196
18,213.831,451.3,9.000555538409838
19,214.213,446.7,6.466065264130885
20,214.596,447.6,5.3516352641038605
21,214.978,446.9,6.579513659838392
22,215.36,445.7,6.388270501473776
23,215.742,445.0,5.310367218940701
24,216.125,448.8,6.046486583132389
25,216.507,445.2,4.422668877499196
26,216.89,447.7,6.542935121182236
27,217.272,446.9,10.241581909060727
28,217.655,442.6,6.916646586316232
29,218.037,446.8,5.287721626560914
30,218.42,445.5,3.3541019662496847
31,218.803,444.2,6.04648658313239
32,219.186,441.9,5.430469592954185
33,219.568,444.5,4.5
34,219.951,448.4,5.535341001239218
35,220.334,444.0,6.308724118235001
36,220.717,446.3,4.796873982084582
37,221.1,449.8,5.075431016179808
38,221.483,448.7,5.550675634551167
39,221.866,449.8,7.743384273042375
40,222.249,448.3,4.859012245302536
41,222.633,449.2,6.734983296193095
42,223.016,453.6,6.019966777316964
43,223.399,450.1,5.5578772926361015
44,223.782,452.1,2.7367864366808017
45,224.166,450.5,5.852349955359813
46,224.549,449.2,5.509990925582365
47,224.933,446.9,6.268173577685927
48,225.316,445.0,6.131883886702357
49,225.7,450.1,7.091544260596558
50,226.083,449.0,6.603029607687671
51,226.467,451.3,6.116371473349211
52,226.851,448.9,4.437341546466758
53,227.235,446.5,5.5362442142665635
54,227.618,449.0,5.138093031466052
55,228.002,446.6,5.571355310873646
56,228.386,446.8,4.044749683231337
57,228.77,445.3,2.830194339616981
58,229.154,447.7,4.69148164229596
59,229.538,468.7,6.5122960620659756
60,229.922,445.8,6.04648658313239
61,230.306,450.7,7.2532751223154355
62,230.691,450.5,5.142956348249516
63,231.075,446.0,6.708203932499369
64,231.459,449.8,5.5641710972974225
65,231.843,447.2,9.008884503644166
66,232.228,447.9,8.50235261559999
67,232.612,451.2,8.388086790204307
68,232.997,445.1,6.220128616033594
69,233.381,451.8,7.236021006050217
70,233.766,452.2,6.99714227381436
71,234.15,456.3,7.963039620647383
72,234.535,456.2,6.305553108173779
73,234.92,455.6,4.923413450036469
74,235.305,452.6,6.053098380168622
