z_target_um,TOD_fs3,n_protons,GVD
-150.0,-80000.0,190408572347.8618,13.6
-131.25,-80000.0,185262172525.32556,13.6
-112.5,-80000.0,175380427179.1778,13.6
-93.75,-80000.0,154630406169.46304,13.6
-75.0,-80000.0,147190323358.92737,13.6
-56.25,-80000.0,303152545456.9063,13.6
-37.5,-80000.0,542147735937.6581,13.6
-18.75,-80000.0,612635327117.2516,13.6
0.0,-80000.0,659018694207.9056,13.6
18.75,-80000.0,368205998804.7164,13.6
37.5,-80000.0,379781287862.4337,13.6
56.25,-80000.0,690316368528.026,13.6
75.0,-80000.0,596727525748.8691,13.6
93.75,-80000.0,223999929655.9817,13.6
112.5,-80000.0,168926874686.06125,13.6
131.25,-80000.0,178414007905.2415,13.6
150.0,-80000.0,188098447187.90543,13.6
-150.0,-70000.0,186018512435.3469,13.6
-131.25,-70000.0,180321299852.25165,13.6
-112.5,-70000.0,171409642651.56595,13.6
-93.75,-70000.0,150963801823.05545,13.6
-75.0,-70000.0,144839092769.07858,13.6
-56.25,-70000.0,280898065713.12744,13.6
-37.5,-70000.0,547976485896.4091,13.6
-18.75,-70000.0,580836166552.4432,13.6
0.0,-70000.0,654784834928.982,13.6
18.75,-70000.0,399524508574.2932,13.6
37.5,-70000.0,378238146014.7264,13.6
56.25,-70000.0,685474148886.6941,13.6
75.0,-70000.0,550681223183.3333,13.6
93.75,-70000.0,210015862406.5661,13.6
112.5,-70000.0,176391620754.53235,13.6
131.25,-70000.0,187161243386.3573,13.6
150.0,-70000.0,187399654879.73364,13.6
-150.0,-60000.0,172659247720.29672,13.6
-131.25,-60000.0,168071881744.29807,13.6
-112.5,-60000.0,156208854677.33353,13.6
-93.75,-60000.0,138887026520.65015,13.6
-75.0,-60000.0,137744295569.63968,13.6
-56.25,-60000.0,232278563236.32343,13.6
-37.5,-60000.0,499677605772.7664,13.6
-18.75,-60000.0,564936586270.039,13.6
0.0,-60000.0,643480841708.5549,13.6
18.75,-60000.0,384672848785.5493,13.6
37.5,-60000.0,403729311317.782,13.6
56.25,-60000.0,670799510415.0852,13.6
75.0,-60000.0,501436918172.164,13.6
93.75,-60000.0,201523480590.78348,13.6
112.5,-60000.0,180263752250.40225,13.6
131.25,-60000.0,188641038862.48596,13.6
150.0,-60000.0,187720277232.8948,13.6
-150.0,-50000.0,142570073039.0147,13.6
-131.25,-50000.0,137612758193.9838,13.6
-112.5,-50000.0,131405838280.22205,13.6
-93.75,-50000.0,118967335194.76314,13.6
-75.0,-50000.0,106545274281.26112,13.6
-56.25,-50000.0,196418186198.13977,13.6
-37.5,-50000.0,435733999032.05273,13.6
-18.75,-50000.0,551585542640.9673,13.6
0.0,-50000.0,541194089964.1528,13.6
18.75,-50000.0,373952537903.6825,13.6
37.5,-50000.0,437929028988.31006,13.6
56.25,-50000.0,646613075466.3608,13.6
75.0,-50000.0,448369808180.99567,13.6
93.75,-50000.0,196673039863.47305,13.6
112.5,-50000.0,176860222655.30627,13.6
131.25,-50000.0,176046335143.43567,13.6
150.0,-50000.0,168474714957.24417,13.6
-150.0,-40000.0,86896878792.66438,13.6
-131.25,-40000.0,87612113272.7932,13.6
-112.5,-40000.0,84520984944.88005,13.6
-93.75,-40000.0,80476210643.46184,13.6
-75.0,-40000.0,71572774528.75461,13.6
-56.25,-40000.0,128092740630.88968,13.6
-37.5,-40000.0,382568236009.1426,13.6
-18.75,-40000.0,530605331223.85474,13.6
0.0,-40000.0,514039842977.1925,13.6
18.75,-40000.0,379879940894.17554,13.6
37.5,-40000.0,462600508009.7658,13.6
56.25,-40000.0,659635275656.2927,13.6
75.0,-40000.0,333776090726.7904,13.6
93.75,-40000.0,158190136398.15018,13.6
112.5,-40000.0,147379408336.43277,13.6
131.25,-40000.0,132260831221.98526,13.6
150.0,-40000.0,123760228320.22417,13.6
-150.0,-30000.0,25008543546.5738,13.6
-131.25,-30000.0,25962189520.0789,13.6
-112.5,-30000.0,27409100652.29357,13.6
-93.75,-30000.0,28222988164.164314,13.6
-75.0,-30000.0,31577191243.389194,13.6
-56.25,-30000.0,62537801038.39148,13.6
-37.5,-30000.0,299823005635.6169,13.6
-18.75,-30000.0,539516988424.5407,13.6
0.0,-30000.0,445064931617.6416,13.6
18.75,-30000.0,399569441812.6648,13.6
37.5,-30000.0,558844761559.9761,13.6
56.25,-30000.0,672739686706.0094,13.6
75.0,-30000.0,221747352097.87485,13.6
93.75,-30000.0,106298641701.90633,13.6
112.5,-30000.0,81923121775.67645,13.6
131.25,-30000.0,68966690273.57253,13.6
150.0,-30000.0,58616343026.65058,13.6
-150.0,-20000.0,0.0,13.6
-131.25,-20000.0,16442171.9569847,13.6
-112.5,-20000.0,1619553937.7629976,13.6
-93.75,-20000.0,5302600456.127579,13.6
-75.0,-20000.0,13392149058.964071,13.6
-56.25,-20000.0,33747557941.711178,13.6
-37.5,-20000.0,159349309521.1177,13.6
-18.75,-20000.0,547302356846.17285,13.6
0.0,-20000.0,592008622397.2142,13.6
18.75,-20000.0,565742252695.9312,13.6
37.5,-20000.0,707366900847.4193,13.6
56.25,-20000.0,590389068459.4513,13.6
75.0,-20000.0,151078897026.7543,13.6
93.75,-20000.0,55155265829.70535,13.6
112.5,-20000.0,24630373591.56316,13.6
131.25,-20000.0,8245749236.427849,13.6
150.0,-20000.0,2589642083.2250977,13.6
-150.0,-10000.0,90431945.7634162,13.6
-131.25,-10000.0,2121040182.4510329,13.6
-112.5,-10000.0,6774174846.277713,13.6
-93.75,-10000.0,13030421275.91041,13.6
-75.0,-10000.0,23421873952.72476,13.6
-56.25,-10000.0,42930510979.68715,13.6
-37.5,-10000.0,97970681605.6936,13.6
-18.75,-10000.0,393576270134.3439,13.6
0.0,-10000.0,609971695260.22,13.6
18.75,-10000.0,610555392364.693,13.6
37.5,-10000.0,722337498414.254,13.6
56.25,-10000.0,434689921112.7842,13.6
75.0,-10000.0,146795711231.95984,13.6
93.75,-10000.0,70652012899.16342,13.6
112.5,-10000.0,29439708888.98118,13.6
131.25,-10000.0,14214257656.813305,13.6
150.0,-10000.0,2852716834.5368533,13.6
-150.0,0.0,24663257.93547707,13.6
-131.25,0.0,2959590952.257253,13.6
-112.5,0.0,8607477019.481512,13.6
-93.75,0.0,18768739288.898083,13.6
